export_contribution_id,export_contribution_published_at,export_contribution_author_id,"Êtes-vous satisfait que la ville de Paris soit candidate à l'organisation des JO de 2024 ?","Pour quel type d'épreuve êtes vous prêt à acheter des places ?","Quel est ton athlète favori ?","Nelson Monfort parle-t-il:","Classez vos choix","Choissez le meilleur logo","Est-ce que Martoni a encore une balle dans son chargeur ?","Nouvelle section 1","Nouvelle section 2","Comment trouvez vous le jeu de weeb Genshin Impact ?","Votre catégorie socio-professionnel"
tagCloudReply1,"2020-01-12 00:00:00",user150,"Incroyable ! Tout ces sportifs la wow.","Athlétisme;Sports collectifs;Total War 2: Warhammer",,,,,,,,,
tagCloudReply10,"2020-01-12 00:00:00",user150,"Enfin un peu de divertissement. Car le divertissement c'est bien à la maison.","Athlétisme;Sports collectifs;Bon chance Agui pour le nuage de mots. J",,,,,,,,,
tagCloudReply11,"2020-01-12 00:00:00",user150,"L'autre jour j'étais à la boulangerie des sportifs, des sportifs ? Oui mec des sportifs. Jure des sportifs ? Oui oui des sportfs qui font du sport et du bruit et des phrases un peu longues pour le divertissement à Paris, cette phrase va plus vouloir rien dire mais c'est pas mal et ça régale.","Athlétisme;Sports collectifs;Bon chance Agui pour le nuage de mots. T",,,,,,,,,
tagCloudReply12,"2020-01-12 00:00:00",user150,"Aller encore une autre phrase un peu longue parce que bon il faut bien tester tout les cas, comme le cas K , et le cas K des lapins c'est caca, c'est incroyable et fou non comme le lundi à Paris","Athlétisme;Sports collectifs;Bon chance Agui pour le nuage de mots. M",,,,,,,,,
tagCloudReply13,"2020-01-12 00:00:00",user150,"Une autre phrase, parce que le mot phrase il va finir par pas mal remonté au final dans toutes ces réponses qui sont censées être liées au sport. Mais bon a cause du covid y'a plus trop de sport en vrai ou alors tu en fait à la maison mais c'est un peu ghetto quand même tu trouve pas ?","Athlétisme;Sports collectifs;Bon chance Agui pour le nuage de mots. B",,,,,,,,,
tagCloudReply14,"2020-01-12 00:00:00",user150,"D'ailleurs en parlant de sports et de sportifs, je suis toujours aussi dégouté que l'escalade ce soit toujours fermé ça se trouve en 2024 ça aurait pu être moi aux JO à flex sur des murs de fou la. Je continue à remplir un peu cette ligne histoire de faire genre je suis une longue phrase de sportif.","Athlétisme;Sports collectifs;Bon chance Agui pour le nuage de mots. G",,,,,,,,,
tagCloudReply15,"2020-01-12 00:00:00",user150,"Et une petite dernière pour la route quand même juste pour vous demandez comment vous allez ? Et la je rajoute des petits mots clés tels que : sportifs, sport, JO, athlètes, beurre de cacahuète, bruit, divertissement, sirop d'érable, une bouteille d'huile et des raviolis mais je crois que je viens de lire ma liste de course en même temps.","Athlétisme;Sports collectifs;Bon chance Agui pour le nuage de mots. !",,,,,,,,,
tagCloudReply2,"2020-01-12 00:00:00",user150,"Oui c'est vraiment trop cool.","Athlétisme;Sports collectifs;Total War: Three Kingdoms ",,,,,,,,,
tagCloudReply3,"2020-01-12 00:00:00",user150,"Ca va être fou ! Des sportifs de hauts niveaux.","Athlétisme;Sports collectifs;Total War Saga: Troy",,,,,,,,,
tagCloudReply4,"2020-01-12 00:00:00",user150,"C'est génial ! On va se régaler. mais","Athlétisme;Sports collectifs;Total War: Warhammer",,,,,,,,,
tagCloudReply5,"2020-01-12 00:00:00",user150,"Il va y avoir du divertissement ! Et des sportifs ou !","Athlétisme;Sports collectifs;Total War: Rome",,,,,,,,,
tagCloudReply6,"2020-01-12 00:00:00",user150,"Incroyable ! Tout ces sportifs la wow. est","Athlétisme;Sports collectifs;Total War: Britannia",,,,,,,,,
tagCloudReply7,"2020-01-12 00:00:00",user150,"Bof, non pas trop ça va faire du bruit Donc !","Athlétisme;Sports collectifs;Total War 3: Warhammer",,,,,,,,,
tagCloudReply8,"2020-01-12 00:00:00",user150,"Pas trop non plus, j'aime pas le sport. or","Athlétisme;Sports collectifs;Plus d'idées de jeux.",,,,,,,,,
tagCloudReply9,"2020-01-12 00:00:00",user150,"Le sport c'est cool","Athlétisme;Sports collectifs;Un jeu stylé de fou.",,,,,,,,,
