comment_type,comment_id,comment_related_id,comment_related_type,comment_body,comment_createdAt,comment_publishedAt,comment_updatedAt,comment_pinned,comment_publicationStatus
eventComment,Q29tbWVudDpldmVudENvbW1lbnQzOQ==,,,"Commentaire n°39","2018-03-27 00:00:00","2018-03-27 00:00:00","2018-03-27 00:00:00",No,PUBLISHED
eventComment,Q29tbWVudDpldmVudENvbW1lbnQzOA==,,,"Commentaire n°38","2018-03-26 00:00:00","2018-03-26 00:00:00","2018-03-26 00:00:00",No,PUBLISHED
eventComment,Q29tbWVudDpldmVudENvbW1lbnQzNw==,,,"Commentaire n°37","2018-03-25 00:00:00","2018-03-25 00:00:00","2018-03-25 00:00:00",No,PUBLISHED
eventComment,Q29tbWVudDpldmVudENvbW1lbnQzNg==,,,"Commentaire n°36","2018-03-24 00:00:00","2018-03-24 00:00:00","2018-03-24 00:00:00",No,PUBLISHED
eventComment,Q29tbWVudDpldmVudENvbW1lbnQzNQ==,,,"Commentaire n°35","2018-03-23 00:00:00","2018-03-23 00:00:00","2018-03-23 00:00:00",No,PUBLISHED
eventComment,Q29tbWVudDpldmVudENvbW1lbnQzNA==,,,"Commentaire n°34","2018-03-22 00:00:00","2018-03-22 00:00:00","2018-03-22 00:00:00",No,PUBLISHED
eventComment,Q29tbWVudDpldmVudENvbW1lbnQzMw==,,,"Commentaire n°33","2018-03-21 00:00:00","2018-03-21 00:00:00","2018-03-21 00:00:00",No,PUBLISHED
eventComment,Q29tbWVudDpldmVudENvbW1lbnQzMg==,,,"Commentaire n°32","2018-03-20 00:00:00","2018-03-20 00:00:00","2018-03-20 00:00:00",No,PUBLISHED
eventComment,Q29tbWVudDpldmVudENvbW1lbnQzMQ==,,,"Commentaire n°31","2018-03-19 00:00:00","2018-03-19 00:00:00","2018-03-19 00:00:00",No,PUBLISHED
eventComment,Q29tbWVudDpldmVudENvbW1lbnQzMA==,,,"Commentaire n°30","2018-03-18 00:00:00","2018-03-18 00:00:00","2018-03-18 00:00:00",No,PUBLISHED
eventComment,Q29tbWVudDpldmVudENvbW1lbnQx,,,"Commentaire n°1","2018-02-17 00:00:00","2018-02-17 00:00:00","2018-02-17 00:00:00",No,PUBLISHED
proposalComment,Q29tbWVudDpwcm9wb3NhbENvbW1lbnQ3MA==,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In in elit eget dui bibendum luctus euismod sit amet odio. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam erat volutpat. Nulla mollis aliquam faucibus. Nullam pharetra mattis lacus. In vitae ex nisl. Integer faucibus, purus vitae egestas gravida, ante nisi semper magna, nec interdum est orci at purus.","2017-02-01 01:10:00","2017-02-01 01:10:00","2017-02-01 01:10:00",No,PUBLISHED
proposalComment,Q29tbWVudDpwcm9wb3NhbENvbW1lbnQ2OQ==,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In in elit eget dui bibendum luctus euismod sit amet odio. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam erat volutpat. Nulla mollis aliquam faucibus. Nullam pharetra mattis lacus. In vitae ex nisl. Integer faucibus, purus vitae egestas gravida, ante nisi semper magna, nec interdum est orci at purus.","2017-02-01 01:09:00","2017-02-01 01:09:00","2017-02-01 01:09:00",No,PUBLISHED
proposalComment,Q29tbWVudDpwcm9wb3NhbENvbW1lbnQ2OA==,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In in elit eget dui bibendum luctus euismod sit amet odio. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam erat volutpat. Nulla mollis aliquam faucibus. Nullam pharetra mattis lacus. In vitae ex nisl. Integer faucibus, purus vitae egestas gravida, ante nisi semper magna, nec interdum est orci at purus.","2017-02-01 01:08:00","2017-02-01 01:08:00","2017-02-01 01:08:00",No,PUBLISHED
proposalComment,Q29tbWVudDpwcm9wb3NhbENvbW1lbnQ2Nw==,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In in elit eget dui bibendum luctus euismod sit amet odio. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam erat volutpat. Nulla mollis aliquam faucibus. Nullam pharetra mattis lacus. In vitae ex nisl. Integer faucibus, purus vitae egestas gravida, ante nisi semper magna, nec interdum est orci at purus.","2017-02-01 01:07:00","2017-02-01 01:07:00","2017-02-01 01:07:00",No,PUBLISHED
proposalComment,Q29tbWVudDpwcm9wb3NhbENvbW1lbnQ2Ng==,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In in elit eget dui bibendum luctus euismod sit amet odio. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam erat volutpat. Nulla mollis aliquam faucibus. Nullam pharetra mattis lacus. In vitae ex nisl. Integer faucibus, purus vitae egestas gravida, ante nisi semper magna, nec interdum est orci at purus.","2017-02-01 01:06:00","2017-02-01 01:06:00","2017-02-01 01:06:00",No,PUBLISHED
proposalComment,Q29tbWVudDpwcm9wb3NhbENvbW1lbnQ2NQ==,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In in elit eget dui bibendum luctus euismod sit amet odio. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam erat volutpat. Nulla mollis aliquam faucibus. Nullam pharetra mattis lacus. In vitae ex nisl. Integer faucibus, purus vitae egestas gravida, ante nisi semper magna, nec interdum est orci at purus.","2017-02-01 01:05:00","2017-02-01 01:05:00","2017-02-01 01:05:00",No,PUBLISHED
proposalComment,Q29tbWVudDpwcm9wb3NhbENvbW1lbnQ2NA==,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In in elit eget dui bibendum luctus euismod sit amet odio. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam erat volutpat. Nulla mollis aliquam faucibus. Nullam pharetra mattis lacus. In vitae ex nisl. Integer faucibus, purus vitae egestas gravida, ante nisi semper magna, nec interdum est orci at purus.","2017-02-01 01:04:00","2017-02-01 01:04:00","2017-02-01 01:04:00",No,PUBLISHED
proposalComment,Q29tbWVudDpwcm9wb3NhbENvbW1lbnQ2Mw==,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In in elit eget dui bibendum luctus euismod sit amet odio. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam erat volutpat. Nulla mollis aliquam faucibus. Nullam pharetra mattis lacus. In vitae ex nisl. Integer faucibus, purus vitae egestas gravida, ante nisi semper magna, nec interdum est orci at purus.","2017-02-01 01:03:00","2017-02-01 01:03:00","2017-02-01 01:03:00",No,PUBLISHED
proposalComment,Q29tbWVudDpwcm9wb3NhbENvbW1lbnQ2Mg==,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In in elit eget dui bibendum luctus euismod sit amet odio. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam erat volutpat. Nulla mollis aliquam faucibus. Nullam pharetra mattis lacus. In vitae ex nisl. Integer faucibus, purus vitae egestas gravida, ante nisi semper magna, nec interdum est orci at purus.","2017-02-01 01:02:00","2017-02-01 01:02:00","2017-02-01 01:02:00",No,PUBLISHED
proposalComment,Q29tbWVudDpwcm9wb3NhbENvbW1lbnQ2MQ==,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In in elit eget dui bibendum luctus euismod sit amet odio. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam erat volutpat. Nulla mollis aliquam faucibus. Nullam pharetra mattis lacus. In vitae ex nisl. Integer faucibus, purus vitae egestas gravida, ante nisi semper magna, nec interdum est orci at purus.","2017-02-01 01:01:00","2017-02-01 01:01:00","2017-02-01 01:01:00",No,PUBLISHED
proposalComment,Q29tbWVudDpwcm9wb3NhbENvbW1lbnQzNg==,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In in elit eget dui bibendum luctus euismod sit amet odio. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam erat volutpat. Nulla mollis aliquam faucibus. Nullam pharetra mattis lacus. In vitae ex nisl. Integer faucibus, purus vitae egestas gravida, ante nisi semper magna, nec interdum est orci at purus.","2017-02-01 00:36:00","2017-02-01 00:36:00","2017-02-01 00:36:00",No,PUBLISHED
proposalComment,Q29tbWVudDpwcm9wb3NhbENvbW1lbnQzNQ==,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In in elit eget dui bibendum luctus euismod sit amet odio. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam erat volutpat. Nulla mollis aliquam faucibus. Nullam pharetra mattis lacus. In vitae ex nisl. Integer faucibus, purus vitae egestas gravida, ante nisi semper magna, nec interdum est orci at purus.","2017-02-01 00:35:00","2017-02-01 00:35:00","2017-02-01 00:35:00",No,PUBLISHED
proposalComment,Q29tbWVudDpwcm9wb3NhbENvbW1lbnQzNA==,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In in elit eget dui bibendum luctus euismod sit amet odio. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam erat volutpat. Nulla mollis aliquam faucibus. Nullam pharetra mattis lacus. In vitae ex nisl. Integer faucibus, purus vitae egestas gravida, ante nisi semper magna, nec interdum est orci at purus.","2017-02-01 00:34:00","2017-02-01 00:34:00","2017-02-01 00:34:00",No,PUBLISHED
proposalComment,Q29tbWVudDpwcm9wb3NhbENvbW1lbnQzMw==,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In in elit eget dui bibendum luctus euismod sit amet odio. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam erat volutpat. Nulla mollis aliquam faucibus. Nullam pharetra mattis lacus. In vitae ex nisl. Integer faucibus, purus vitae egestas gravida, ante nisi semper magna, nec interdum est orci at purus.","2017-02-01 00:33:00","2017-02-01 00:33:00","2017-02-01 00:33:00",No,PUBLISHED
proposalComment,Q29tbWVudDpwcm9wb3NhbENvbW1lbnQzMg==,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In in elit eget dui bibendum luctus euismod sit amet odio. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam erat volutpat. Nulla mollis aliquam faucibus. Nullam pharetra mattis lacus. In vitae ex nisl. Integer faucibus, purus vitae egestas gravida, ante nisi semper magna, nec interdum est orci at purus.","2017-02-01 00:32:00","2017-02-01 00:32:00","2017-02-01 00:32:00",No,PUBLISHED
proposalComment,Q29tbWVudDpwcm9wb3NhbENvbW1lbnQzMQ==,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In in elit eget dui bibendum luctus euismod sit amet odio. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam erat volutpat. Nulla mollis aliquam faucibus. Nullam pharetra mattis lacus. In vitae ex nisl. Integer faucibus, purus vitae egestas gravida, ante nisi semper magna, nec interdum est orci at purus.","2017-02-01 00:31:00","2017-02-01 00:31:00","2017-02-01 00:31:00",No,PUBLISHED
proposalComment,Q29tbWVudDpwcm9wb3NhbENvbW1lbnQzMA==,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In in elit eget dui bibendum luctus euismod sit amet odio. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam erat volutpat. Nulla mollis aliquam faucibus. Nullam pharetra mattis lacus. In vitae ex nisl. Integer faucibus, purus vitae egestas gravida, ante nisi semper magna, nec interdum est orci at purus.","2017-02-01 00:30:00","2017-02-01 00:30:00","2017-02-01 00:30:00",No,PUBLISHED
proposalComment,Q29tbWVudDpwcm9wb3NhbENvbW1lbnQyOQ==,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In in elit eget dui bibendum luctus euismod sit amet odio. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam erat volutpat. Nulla mollis aliquam faucibus. Nullam pharetra mattis lacus. In vitae ex nisl. Integer faucibus, purus vitae egestas gravida, ante nisi semper magna, nec interdum est orci at purus.","2017-02-01 00:29:00","2017-02-01 00:29:00","2017-02-01 00:29:00",No,PUBLISHED
proposalComment,Q29tbWVudDpwcm9wb3NhbENvbW1lbnQyOA==,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In in elit eget dui bibendum luctus euismod sit amet odio. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam erat volutpat. Nulla mollis aliquam faucibus. Nullam pharetra mattis lacus. In vitae ex nisl. Integer faucibus, purus vitae egestas gravida, ante nisi semper magna, nec interdum est orci at purus.","2017-02-01 00:28:00","2017-02-01 00:28:00","2017-02-01 00:28:00",No,PUBLISHED
proposalComment,Q29tbWVudDpwcm9wb3NhbENvbW1lbnQ3Mg==,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In in elit eget dui bibendum luctus euismod sit amet odio. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam erat volutpat. Nulla mollis aliquam faucibus. Nullam pharetra mattis lacus. In vitae ex nisl. Integer faucibus, purus vitae egestas gravida, ante nisi semper magna, nec interdum est orci at purus.","2016-02-01 00:00:00","2016-02-01 00:00:00","2017-02-01 00:00:00",No,PUBLISHED
