export_vote_published_at,export_vote_type,export_vote_author_id
"2020-03-27 00:00:00",export_vote_type_against,user86
"2020-03-28 00:00:00",export_vote_type_against,user87
"2020-03-29 00:00:00",export_vote_type_against,user88
"2020-03-30 00:00:00",export_vote_type_against,user89
"2020-03-31 00:00:00",export_vote_type_against,user90
"2020-04-01 00:00:00",export_vote_type_against,user91
"2020-04-02 00:00:00",export_vote_type_against,user92
"2020-04-03 00:00:00",export_vote_type_against,user93
"2020-04-04 00:00:00",export_vote_type_against,user94
"2020-04-05 00:00:00",export_vote_type_against,user95
"2020-04-06 00:00:00",export_vote_type_against,user96
"2020-04-07 00:00:00",export_vote_type_against,user97
"2020-04-08 00:00:00",export_vote_type_against,user98
"2020-04-09 00:00:00",export_vote_type_against,user99
"2020-04-10 00:00:00",export_vote_type_against,user100
"2020-04-11 00:00:00",export_vote_type_against,user101
"2020-04-12 00:00:00",export_vote_type_against,user102
"2020-04-13 00:00:00",export_vote_type_against,user103
"2020-04-14 00:00:00",export_vote_type_against,user104
"2020-04-15 00:00:00",export_vote_type_against,user105
"2020-04-16 00:00:00",export_vote_type_against,user106
"2020-04-17 00:00:00",export_vote_type_against,user107
"2020-04-18 00:00:00",export_vote_type_against,user108
"2020-04-19 00:00:00",export_vote_type_against,user109
"2020-04-20 00:00:00",export_vote_type_against,user110
"2020-04-21 00:00:00",export_vote_type_against,user111
"2020-04-22 00:00:00",export_vote_type_against,user112
"2020-04-23 00:00:00",export_vote_type_against,user113
"2020-04-24 00:00:00",export_vote_type_against,user114
"2020-04-25 00:00:00",export_vote_type_against,user115
"2020-04-26 00:00:00",export_vote_type_against,user116
"2020-04-27 00:00:00",export_vote_type_against,user117
"2020-04-28 00:00:00",export_vote_type_against,user118
"2020-04-29 00:00:00",export_vote_type_against,user119
"2020-04-30 00:00:00",export_vote_type_against,user120
"2020-05-01 00:00:00",export_vote_type_against,user121
"2020-05-02 00:00:00",export_vote_type_against,user122
"2020-05-03 00:00:00",export_vote_type_against,user123
"2020-05-04 00:00:00",export_vote_type_against,user124
"2020-05-05 00:00:00",export_vote_type_against,user125
"2020-05-06 00:00:00",export_vote_type_against,user126
"2020-05-07 00:00:00",export_vote_type_against,user127
"2020-05-08 00:00:00",export_vote_type_against,user128
"2020-05-09 00:00:00",export_vote_type_against,user129
"2020-05-10 00:00:00",export_vote_type_against,user130
"2020-05-11 00:00:00",export_vote_type_against,user131
"2020-05-12 00:00:00",export_vote_type_against,user132
"2020-05-13 00:00:00",export_vote_type_against,user133
"2020-05-14 00:00:00",export_vote_type_against,user134
"2020-05-15 00:00:00",export_vote_type_against,user135
"2020-05-16 00:00:00",export_vote_type_against,user136
"2020-05-17 00:00:00",export_vote_type_against,user137
"2020-05-18 00:00:00",export_vote_type_against,user138
"2020-05-19 00:00:00",export_vote_type_against,user139
"2020-05-20 00:00:00",export_vote_type_against,user140
"2020-05-21 00:00:00",export_vote_type_against,user141
"2020-05-22 00:00:00",export_vote_type_against,user142
"2020-05-23 00:00:00",export_vote_type_against,user143
"2020-05-24 00:00:00",export_vote_type_against,user144
"2020-05-25 00:00:00",export_vote_type_against,user145
"2020-05-26 00:00:00",export_vote_type_against,user146
"2020-05-27 00:00:00",export_vote_type_against,user147
"2020-05-28 00:00:00",export_vote_type_against,user148
"2020-05-29 00:00:00",export_vote_type_against,user149
"2020-05-30 00:00:00",export_vote_type_against,user150
"2020-05-31 00:00:00",export_vote_type_against,user151
"2020-06-01 00:00:00",export_vote_type_against,user152
"2020-06-02 00:00:00",export_vote_type_against,user153
"2020-06-03 00:00:00",export_vote_type_against,user154
"2020-06-04 00:00:00",export_vote_type_against,user155
"2020-06-05 00:00:00",export_vote_type_against,user156
"2020-06-06 00:00:00",export_vote_type_against,user157
"2020-06-07 00:00:00",export_vote_type_against,user158
"2020-06-08 00:00:00",export_vote_type_against,user159
"2020-06-09 00:00:00",export_vote_type_against,user160
"2020-06-10 00:00:00",export_vote_type_against,user161
"2020-06-11 00:00:00",export_vote_type_against,user162
"2020-06-12 00:00:00",export_vote_type_against,user163
"2020-06-13 00:00:00",export_vote_type_against,user164
"2020-06-14 00:00:00",export_vote_type_against,user165
"2020-06-15 00:00:00",export_vote_type_against,user166
"2020-06-16 00:00:00",export_vote_type_against,user167
"2020-06-17 00:00:00",export_vote_type_against,user168
"2020-06-18 00:00:00",export_vote_type_against,user169
"2020-06-19 00:00:00",export_vote_type_against,user170
"2020-06-20 00:00:00",export_vote_type_against,user171
"2020-06-21 00:00:00",export_vote_type_against,user172
"2020-06-22 00:00:00",export_vote_type_against,user173
"2020-06-23 00:00:00",export_vote_type_against,user174
"2020-06-24 00:00:00",export_vote_type_against,user175
"2020-06-25 00:00:00",export_vote_type_against,user176
"2020-06-26 00:00:00",export_vote_type_against,user177
"2020-06-27 00:00:00",export_vote_type_against,user178
"2020-06-28 00:00:00",export_vote_type_against,user179
"2020-06-29 00:00:00",export_vote_type_against,user180
"2020-06-30 00:00:00",export_vote_type_against,user181
"2020-07-01 00:00:00",export_vote_type_against,user182
"2020-07-02 00:00:00",export_vote_type_against,user183
"2020-07-03 00:00:00",export_vote_type_against,user184
"2020-07-04 00:00:00",export_vote_type_against,user185
"2020-07-05 00:00:00",export_vote_type_against,user186
"2020-07-06 00:00:00",export_vote_type_against,user187
"2020-07-07 00:00:00",export_vote_type_against,user188
"2020-07-08 00:00:00",export_vote_type_against,user189
"2020-07-09 00:00:00",export_vote_type_against,user190
"2020-07-10 00:00:00",export_vote_type_against,user191
"2020-07-11 00:00:00",export_vote_type_against,user192
"2020-07-12 00:00:00",export_vote_type_against,user193
"2020-07-13 00:00:00",export_vote_type_against,user194
"2020-07-14 00:00:00",export_vote_type_against,user195
"2020-07-15 00:00:00",export_vote_type_against,user196
"2020-07-16 00:00:00",export_vote_type_against,user197
"2020-07-17 00:00:00",export_vote_type_against,user198
"2020-07-18 00:00:00",export_vote_type_against,user199
"2020-07-19 00:00:00",export_vote_type_against,user200
