export_contribution_type,export_proposal_id,export_proposal_published_at,export_proposal_reference,export_proposal_title,export_proposal_summary,export_proposal_description,export_proposal_author_id,export_proposal_category_name,export_proposal_theme_title,export_proposal_formatted_address,export_proposal_address_lat,export_proposal_address_lng,export_proposal_district_name,"Nouvelle section 3","Evaluez l'importance de votre proposition","Evaluez le coût de votre proposition",Documents,Bilans,export_proposal_estimation,export_proposal_illustration,export_proposal_link,export_proposal_status_name
export_contribution_type_proposal,proposal35,,"""1-35""","Proposition 35 non publiée",,TODO,userNotConfirmedWithContributions,Aménagement,Transport,"263 Avenue Général Leclerc, 35700 Rennes, France",48.119109,-1.6447289,"Nord Saint-Martin",,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/proposition-35-non-publiee?_locale=fr-FR,Approuvé
export_contribution_type_proposal,proposalDraftWithNotConfirmedAuthor,,"""1-102""","Proposition brouillon avec un auteur non confirmé",,TODO,userNotConfirmedWithContributions,,Justice,,,,"Maurepas Patton",,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/proposition-brouillon-avec-un-auteur-non-confirme?_locale=fr-FR,
export_contribution_type_proposal,proposal104,"2018-04-11 00:00:00","""1-1104""","Test de publication avec accusé de réception",,TODO,userAdmin,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/test-de-publication-avec-accuse-de-reception?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedInvisible1,"2019-03-02 00:23:00","""1-6661""","Trashed proposal invisible 1",,"I am not visible because I contains some bad words",user2,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-1?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedInvisible2,"2019-03-03 00:23:00","""1-6662""","Trashed proposal invisible 2",,"I am not visible because I contains some bad words",user2,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-2?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedInvisible3,"2019-03-04 00:23:00","""1-6663""","Trashed proposal invisible 3",,"I am not visible because I contains some bad words",user2,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-3?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedInvisible4,"2019-03-05 00:23:00","""1-6664""","Trashed proposal invisible 4",,"I am not visible because I contains some bad words",user2,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-4?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedInvisible5,"2019-03-06 00:23:00","""1-6665""","Trashed proposal invisible 5",,"I am not visible because I contains some bad words",user2,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-5?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedInvisible6,"2019-03-07 00:23:00","""1-6666""","Trashed proposal invisible 6",,"I am not visible because I contains some bad words",user2,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-6?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedInvisible7,"2019-03-08 00:23:00","""1-6667""","Trashed proposal invisible 7",,"I am not visible because I contains some bad words",user2,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-7?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedInvisible8,"2019-03-09 00:23:00","""1-6668""","Trashed proposal invisible 8",,"I am not visible because I contains some bad words",user2,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-8?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedInvisible9,"2019-03-10 00:23:00","""1-6669""","Trashed proposal invisible 9",,"I am not visible because I contains some bad words",user2,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-9?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedVisible1,"2017-02-02 00:23:00","""1-6671""","Trashed proposal visible 1",,"I deserve to be trashed !",user1,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-visible-1?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedVisible2,"2017-02-03 00:23:00","""1-6672""","Trashed proposal visible 2",,"I deserve to be trashed !",user1,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-visible-2?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedVisible3,"2017-02-04 00:23:00","""1-6673""","Trashed proposal visible 3",,"I deserve to be trashed !",user1,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-visible-3?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedVisible4,"2017-02-05 00:23:00","""1-6674""","Trashed proposal visible 4",,"I deserve to be trashed !",user1,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-visible-4?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedVisible5,"2017-02-06 00:23:00","""1-6675""","Trashed proposal visible 5",,"I deserve to be trashed !",user1,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-visible-5?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedVisible6,"2017-02-07 00:23:00","""1-6676""","Trashed proposal visible 6",,"I deserve to be trashed !",user1,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-visible-6?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedVisible7,"2017-02-08 00:23:00","""1-6677""","Trashed proposal visible 7",,"I deserve to be trashed !",user1,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-visible-7?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedVisible8,"2017-02-09 00:23:00","""1-6678""","Trashed proposal visible 8",,"I deserve to be trashed !",user1,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-visible-8?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedVisible9,"2017-02-10 00:23:00","""1-6679""","Trashed proposal visible 9",,"I deserve to be trashed !",user1,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-visible-9?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedInvisible10,"2019-03-11 00:23:00","""1-66610""","Trashed proposal invisible 10",,"I am not visible because I contains some bad words",user2,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-10?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedInvisible11,"2019-03-12 00:23:00","""1-66611""","Trashed proposal invisible 11",,"I am not visible because I contains some bad words",user2,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-11?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedInvisible12,"2019-03-13 00:23:00","""1-66612""","Trashed proposal invisible 12",,"I am not visible because I contains some bad words",user2,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-12?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedInvisible13,"2019-03-14 00:23:00","""1-66613""","Trashed proposal invisible 13",,"I am not visible because I contains some bad words",user2,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-13?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedInvisible14,"2019-03-15 00:23:00","""1-66614""","Trashed proposal invisible 14",,"I am not visible because I contains some bad words",user2,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-14?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedInvisible15,"2019-03-16 00:23:00","""1-66615""","Trashed proposal invisible 15",,"I am not visible because I contains some bad words",user2,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-15?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedInvisible16,"2019-03-17 00:23:00","""1-66616""","Trashed proposal invisible 16",,"I am not visible because I contains some bad words",user2,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-16?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedInvisible17,"2019-03-18 00:23:00","""1-66617""","Trashed proposal invisible 17",,"I am not visible because I contains some bad words",user2,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-17?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedInvisible18,"2019-03-19 00:23:00","""1-66618""","Trashed proposal invisible 18",,"I am not visible because I contains some bad words",user2,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-18?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedInvisible19,"2019-03-20 00:23:00","""1-66619""","Trashed proposal invisible 19",,"I am not visible because I contains some bad words",user2,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-19?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedInvisible20,"2019-03-21 00:23:00","""1-66620""","Trashed proposal invisible 20",,"I am not visible because I contains some bad words",user2,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-20?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedInvisible21,"2019-03-22 00:23:00","""1-66621""","Trashed proposal invisible 21",,"I am not visible because I contains some bad words",user2,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-21?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedInvisible22,"2019-03-23 00:23:00","""1-66622""","Trashed proposal invisible 22",,"I am not visible because I contains some bad words",user2,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-22?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedInvisible23,"2019-03-24 00:23:00","""1-66623""","Trashed proposal invisible 23",,"I am not visible because I contains some bad words",user2,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-23?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedInvisible24,"2019-03-25 00:23:00","""1-66624""","Trashed proposal invisible 24",,"I am not visible because I contains some bad words",user2,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-24?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedInvisible25,"2019-03-26 00:23:00","""1-66625""","Trashed proposal invisible 25",,"I am not visible because I contains some bad words",user2,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-25?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedInvisible26,"2019-03-27 00:23:00","""1-66626""","Trashed proposal invisible 26",,"I am not visible because I contains some bad words",user2,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-26?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedInvisible27,"2019-03-28 00:23:00","""1-66627""","Trashed proposal invisible 27",,"I am not visible because I contains some bad words",user2,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-27?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedInvisible28,"2019-03-29 00:23:00","""1-66628""","Trashed proposal invisible 28",,"I am not visible because I contains some bad words",user2,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-28?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedInvisible29,"2019-03-30 00:23:00","""1-66629""","Trashed proposal invisible 29",,"I am not visible because I contains some bad words",user2,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-29?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedInvisible30,"2019-03-31 00:23:00","""1-66630""","Trashed proposal invisible 30",,"I am not visible because I contains some bad words",user2,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-30?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedInvisible31,"2019-04-01 00:23:00","""1-66631""","Trashed proposal invisible 31",,"I am not visible because I contains some bad words",user2,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-31?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedInvisible32,"2019-04-02 00:23:00","""1-66632""","Trashed proposal invisible 32",,"I am not visible because I contains some bad words",user2,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-32?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedInvisible33,"2019-04-03 00:23:00","""1-66633""","Trashed proposal invisible 33",,"I am not visible because I contains some bad words",user2,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-33?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedInvisible34,"2019-04-04 00:23:00","""1-66634""","Trashed proposal invisible 34",,"I am not visible because I contains some bad words",user2,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-34?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedInvisible35,"2019-04-05 00:23:00","""1-66635""","Trashed proposal invisible 35",,"I am not visible because I contains some bad words",user2,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-35?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedInvisible36,"2019-04-06 00:23:00","""1-66636""","Trashed proposal invisible 36",,"I am not visible because I contains some bad words",user2,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-36?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedInvisible37,"2019-04-07 00:23:00","""1-66637""","Trashed proposal invisible 37",,"I am not visible because I contains some bad words",user2,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-37?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedInvisible38,"2019-04-08 00:23:00","""1-66638""","Trashed proposal invisible 38",,"I am not visible because I contains some bad words",user2,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-38?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedInvisible39,"2019-04-09 00:23:00","""1-66639""","Trashed proposal invisible 39",,"I am not visible because I contains some bad words",user2,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-39?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedInvisible40,"2019-04-10 00:23:00","""1-66640""","Trashed proposal invisible 40",,"I am not visible because I contains some bad words",user2,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-40?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedInvisible41,"2019-04-11 00:23:00","""1-66641""","Trashed proposal invisible 41",,"I am not visible because I contains some bad words",user2,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-41?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedInvisible42,"2019-04-12 00:23:00","""1-66642""","Trashed proposal invisible 42",,"I am not visible because I contains some bad words",user2,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-42?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedInvisible43,"2019-04-13 00:23:00","""1-66643""","Trashed proposal invisible 43",,"I am not visible because I contains some bad words",user2,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-43?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedInvisible44,"2019-04-14 00:23:00","""1-66644""","Trashed proposal invisible 44",,"I am not visible because I contains some bad words",user2,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-44?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedInvisible45,"2019-04-15 00:23:00","""1-66645""","Trashed proposal invisible 45",,"I am not visible because I contains some bad words",user2,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-45?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedInvisible46,"2019-04-16 00:23:00","""1-66646""","Trashed proposal invisible 46",,"I am not visible because I contains some bad words",user2,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-46?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedInvisible47,"2019-04-17 00:23:00","""1-66647""","Trashed proposal invisible 47",,"I am not visible because I contains some bad words",user2,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-47?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedInvisible48,"2019-04-18 00:23:00","""1-66648""","Trashed proposal invisible 48",,"I am not visible because I contains some bad words",user2,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-48?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedInvisible49,"2019-04-19 00:23:00","""1-66649""","Trashed proposal invisible 49",,"I am not visible because I contains some bad words",user2,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-49?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedInvisible50,"2019-04-20 00:23:00","""1-66650""","Trashed proposal invisible 50",,"I am not visible because I contains some bad words",user2,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-50?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedVisible10,"2017-02-11 00:23:00","""1-66710""","Trashed proposal visible 10",,"I deserve to be trashed !",user1,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-visible-10?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedVisible11,"2017-02-12 00:23:00","""1-66711""","Trashed proposal visible 11",,"I deserve to be trashed !",user1,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-visible-11?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedVisible12,"2017-02-13 00:23:00","""1-66712""","Trashed proposal visible 12",,"I deserve to be trashed !",user1,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-visible-12?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedVisible13,"2017-02-14 00:23:00","""1-66713""","Trashed proposal visible 13",,"I deserve to be trashed !",user1,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-visible-13?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedVisible14,"2017-02-15 00:23:00","""1-66714""","Trashed proposal visible 14",,"I deserve to be trashed !",user1,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-visible-14?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedVisible15,"2017-02-16 00:23:00","""1-66715""","Trashed proposal visible 15",,"I deserve to be trashed !",user1,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-visible-15?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedVisible16,"2017-02-17 00:23:00","""1-66716""","Trashed proposal visible 16",,"I deserve to be trashed !",user1,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-visible-16?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedVisible17,"2017-02-18 00:23:00","""1-66717""","Trashed proposal visible 17",,"I deserve to be trashed !",user1,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-visible-17?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedVisible18,"2017-02-19 00:23:00","""1-66718""","Trashed proposal visible 18",,"I deserve to be trashed !",user1,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-visible-18?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedVisible19,"2017-02-20 00:23:00","""1-66719""","Trashed proposal visible 19",,"I deserve to be trashed !",user1,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-visible-19?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedVisible20,"2017-02-21 00:23:00","""1-66720""","Trashed proposal visible 20",,"I deserve to be trashed !",user1,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-visible-20?_locale=fr-FR,
export_contribution_type_proposal,proposalTrashedVisible21,"2017-02-22 00:23:00","""1-66721""","Trashed proposal visible 21",,"I deserve to be trashed !",user1,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-visible-21?_locale=fr-FR,
