export_proposal_id,export_proposal_reference,export_proposal_title,export_proposal_link,export_proposal_votes_id,export_proposal_votes_ranking,export_proposal_votes_published_at,export_proposal_votes_anonymous,export_proposal_votes_author_id
proposal14,1,"Mon super projet",https://capco.dev/project/appel-a-projets/collect/collecte-des-propositions-avec-vote-simple/proposals/mon-super-projet,2036,,"2017-02-01 00:37:00",Non,user37
proposal14,1,"Mon super projet",https://capco.dev/project/appel-a-projets/collect/collecte-des-propositions-avec-vote-simple/proposals/mon-super-projet,2037,,"2017-02-01 00:38:00",Non,user38
proposal14,1,"Mon super projet",https://capco.dev/project/appel-a-projets/collect/collecte-des-propositions-avec-vote-simple/proposals/mon-super-projet,2038,,"2017-02-01 00:39:00",Non,user39
proposal14,1,"Mon super projet",https://capco.dev/project/appel-a-projets/collect/collecte-des-propositions-avec-vote-simple/proposals/mon-super-projet,2039,,"2017-02-01 00:40:00",Non,user40
proposal14,1,"Mon super projet",https://capco.dev/project/appel-a-projets/collect/collecte-des-propositions-avec-vote-simple/proposals/mon-super-projet,2040,,"2017-02-01 00:41:00",Non,user41
proposal14,1,"Mon super projet",https://capco.dev/project/appel-a-projets/collect/collecte-des-propositions-avec-vote-simple/proposals/mon-super-projet,2041,,"2017-02-01 00:42:00",Non,user42
proposal14,1,"Mon super projet",https://capco.dev/project/appel-a-projets/collect/collecte-des-propositions-avec-vote-simple/proposals/mon-super-projet,2042,,"2017-02-01 00:43:00",Non,user43
proposal14,1,"Mon super projet",https://capco.dev/project/appel-a-projets/collect/collecte-des-propositions-avec-vote-simple/proposals/mon-super-projet,2043,,"2017-02-01 00:44:00",Non,user44
proposal14,1,"Mon super projet",https://capco.dev/project/appel-a-projets/collect/collecte-des-propositions-avec-vote-simple/proposals/mon-super-projet,2044,,"2017-02-01 00:45:00",Non,user45
proposal14,1,"Mon super projet",https://capco.dev/project/appel-a-projets/collect/collecte-des-propositions-avec-vote-simple/proposals/mon-super-projet,2045,,"2017-02-01 00:46:00",Non,user46
proposal14,1,"Mon super projet",https://capco.dev/project/appel-a-projets/collect/collecte-des-propositions-avec-vote-simple/proposals/mon-super-projet,2046,,"2017-02-01 00:47:00",Non,user47
proposal14,1,"Mon super projet",https://capco.dev/project/appel-a-projets/collect/collecte-des-propositions-avec-vote-simple/proposals/mon-super-projet,2047,,"2017-02-01 00:48:00",Non,user48
proposal14,1,"Mon super projet",https://capco.dev/project/appel-a-projets/collect/collecte-des-propositions-avec-vote-simple/proposals/mon-super-projet,2048,,"2017-02-01 00:49:00",Non,user49
proposal14,1,"Mon super projet",https://capco.dev/project/appel-a-projets/collect/collecte-des-propositions-avec-vote-simple/proposals/mon-super-projet,2049,,"2017-02-01 00:50:00",Non,user50
