name,author,district_name,address,collect_status,estimation,category,summary,body,Adresse,Résumé,Objectif
"Work out République
",Kamez Moussous,"Bas Montreuil-République /
Étienne Marcel-Chanzy / Bobillot",,Nouvelle proposition,,Sports,,Installation d'équipement de musculation extérieure et de divers appareils de fitness ,La dalle du toit de décathlon,"Installation d'équipements de musculation
Extérieure et de divers appareils de fitness
",- Santé et bien être du corps/- Rassemblement des habitants autour d'activités communes/ Loisirs gratuits en libre accès pour la jeunesse
Déclic et des cliques,Karima Adid Guemoune,La Noue-Clos Français / Villiers-Barbuse,,Nouvelle proposition,5500,Economie sociale et solidaire ,,"Accéder et apprendre a utiliser la messagerie électronique : envoyer et recevoir des messages, joindre un fichier, une image ou un texte, Créer sa boite aux lettres, se familiariser avec le traitement de texte et la mise en page de courriers, de curriculum vitaë, de lettres de motivation etc... afin de donner accès a l'autonomie en terme de recherche d'emploi spontanée.",Toute la ville,Répondre aux besoins des habitants en matière d'outil informatique,répondre aux besoins des habitants en matière d'outil informatique
Avenir à venir,Karima Adid Guemoune ,La Noue-Clos Français / Villiers-Barbuse,,Nouvelle proposition,1320,Education et Jeunesse,,Avenir à venir,Cité la noue,"Sollicite des locaux vacants pour offrir aux jeunes adolescntes un lieu de rencontre où elles se sentirons encadrées, orientées assistées et écoutées au quotidien",
bacs à plante et murs végétalisés,Karine Cahen,"Bas Montreuil-République /
Étienne Marcel-Chanzy / Bobillot",,Nouvelle proposition,,Aménagement et Mobilier Urbain,,"L'idée serait de mettre en place à certains coins de rue propices aux dépôts sauvages et sur certains trottoirs un peu larges, devant de grands murs, des bacs à plantes de tailles adaptées, plantes grimpantes sur les murs lorsque cela est possible, pour éviter les tags et rendre la vue plus belle.","Angle des rues Delorme/ Gambetta,
Angle des rues Sergent Godeffroy/ Bonouvrier, Angle des rues Gambetta/ Hayeps,
Devant le 6 rue Colonel Delorme.","Mettre en place des bacs à plantes grimpantes
devant les grands murs (à certains coins de rue
propices aux dépôts sauvages et sur
certains trottoirs un peu larges) pour éviter les
tags et rendre la vue plus belle.", Rendre la ville plus belle et éviter les tags et les dépôts sauvages
Donner de la couleur au Square Demi Cercle,Kathy Voisembert ,Solidarité-Carnot / Centre Ville / Jean Moulin – Beaumonts,,Nouvelle proposition,,Espaces verts,,Donner de la couleur au Square Demi Cercle,square demi cercle,"Ré-aménagement du square par :

- réhaussement des clotures (cause d'intrusion et dégats la nuit )
- terrain multisport – pose des jeux (enveloppe EPQ)
- fontaine - banc- réhabilité le chalet ACR (détruit après 10 ans de vandalisme )
- appropriation d'un ", Recréer du lien social dans le square demi cercle peu utilisé pour causes de mauvaises fréquentations.
"Femmes du monde en action
",LATTIER Denise,La Noue-Clos Français / Villiers-Barbuse,,Nouvelle proposition,,Culture et loisirs,,"Femmes du monde en action
",,voir pièce jointe,
Montreuil à vélo,LE BRIS DUREST Emmanuel,"Ramenas / Léo Lagrange /
Branly-Boissière",,Nouvelle proposition,,Aménagement et Mobilier Urbain,,Montreuil à vélo,NON RENSEIGNE,"revoir/améliorer les pistes cyclables existantes, en créer de nouvelles sur des parcours réfléchis, concertés avec d'autres usagers du vélo et avec la Ville, sur un parcours, un quartier, un secteur ou la ville. Penser au plan plus général, plus homogène,",
"Sauvons nos Vélib'
",Léa Lamerre,Solidarité-Carnot / Centre Ville / Jean Moulin – Beaumonts,,Nouvelle proposition,,Aménagement et Mobilier Urbain,,"Face à la recrudescence des vols et des dégradations des vélos en libre-service, il est indispensable de sécuriser les bornes Vélib'. Positionner des potelets de sécurité entre chaque bornes pour entraver l'action des voleurs.",,"Sécuriser les bornes Vélib'.

Positionner des potelets de sécurité entre chaque bornes pour entraver l'action des voleurs.

L'accessibilité aux transports est une priorité pour la ville et les habitants.","Favoriser les transports dans la ville. Actuellement les Vélib' sont sans cesse volés, de fait les bornes sont bloquées. Cela pénalise les habitants. "
Valoriser le square de l'Eglise,Léa Lamerre,Solidarité-Carnot / Centre Ville / Jean Moulin – Beaumonts,,Nouvelle proposition,,Espaces verts,,-Transformer ce lieu de passage en un lieu plus agréable. -Penser la circulation et la déambulation en proposant l'étude à une agence d'architecte et paysagiste par un appel d'offre.,Le square de l'Église,"-Transformer ce lieu de passage en un lieu plus agréable.

-Imaginer un mobilier urbain en adéquation avec ce lieu.

-Penser la circulation et la déambulation en proposant l'étude à une agence d'architecte et paysagiste par un appel d'offre.
", Aménager et valoriser un square de l'espace public
"
Vivons ensemble
",LEOCMACH Danica,Solidarité-Carnot / Centre Ville / Jean Moulin – Beaumonts,,Nouvelle proposition,,Espaces verts,,"
Vivons ensemble
","L'esplanade devant la Mairie, place JJ Duclos,
Place A Cesaire, Rue du capitaine Dreyfus,
Rue des Lumières","objectif commun mie en valeur avec des moyens modestes une approche qualitative, motiver les artistes pour qu'ils passent du temps avec la population
",
Ensemble dans l'espace public,Louisa Nechadi,"Ruffins-Théophile Sueur
Montreau-Le Morillon",,Nouvelle proposition,,Aménagement et Mobilier Urbain,,"Pour que les habitants se retrouvent, se rencontrent, il faut équiper les lieux : - toilettes - fontaine - bancs - aire de jeux - poubelles",Place Le Morillon et dans le parc Montreau,"Pour que les habitants se retrouvent, se rencontrent, il faut équiper les lieux : - toilettes - fontaine - bancs - aire de jeux - poubelles","Amélioration de la vie publique place Le morillon et dans le parc Montreau, pour que les gens investissent les lieux et s'y rencontrent "
Aménagement Marceau,Lucie Principaud ,"Bas Montreuil-République /
Étienne Marcel-Chanzy / Bobillot",,Nouvelle proposition,10000,Education et Jeunesse,,"Cet aménagement a été réfléchi en conseil d'école, il est donc soutenu par une concertation entre les parents, les enseignants et le centre de loisirs.Suite au retrait du jeu de la cours de l'école il y a 2 ans, nous souhaiterions redonner une vie à cet espace. De plus les racines des arbres continuant à faire leur chemin, l'espace proche des troncs est dangereux pour les enfants en action.",,Mise en sécurité et activité ludique et physique pour des enfants,Mise en sécurité et activité ludique & physique pour des enfants
Stationnement vélos Marceau,Lucie Principaud ,"Bas Montreuil-République /
Étienne Marcel-Chanzy / Bobillot",,Nouvelle proposition,,Aménagement et Mobilier Urbain,,"Afin de permettre aux familles (parents & enfants) de pouvoir se déplacer facilement en vélo aux abords de l'école, nous soumettons une demande pour l'installation d'anneaux à vélos en haut de la rue Marceau, idéalement au niveau de l'école.",Rue Marceau,Favoriser et faciliter l'usage des vélos,Favoriser & faciliter l'usage des vélos.
Réfection des trottoirs,Lucienne CLAVEQUIN ,"Ramenas / Léo Lagrange /
Branly-Boissière",,Nouvelle proposition,200000,Aménagement et Mobilier Urbain,,Réfection des trottoirs,NON RENSEIGNE,,
"
réaménagement des trottoirs et des bancs
",Madeleine Blin,"Ramenas / Léo Lagrange /
Branly-Boissière",,Nouvelle proposition,200000,Aménagement et Mobilier Urbain,,"
réaménagement des trottoirs et des bancs
",,Réaménagement des trottoirs et bancs, Réaménagement des trottoirs et des bancs
aménagement des trottoirs et des bancs,Madeleine Blin,"Ramenas / Léo Lagrange /
Branly-Boissière",,Nouvelle proposition,200000,Aménagement et Mobilier Urbain,, Réamenagement des trottoirs et des bancs ,,Réaménagement des trottoirs et des bancs,
Une nouvelle place et une zone de rencontre pour les Ruffins,Marianne – Jennifer Duffet - Lavallé ,"Ruffins-Théophile Sueur
Montreau-Le Morillon",,Nouvelle proposition,,Aménagement et Mobilier Urbain,,"Le quartier, un coeur de ville convivial en manque d'aménagements adaptés.Pourtant, les piétons et cyclistes, nombreux dans ce quartier, ressentent un grand sentiment d'insécurité routière lorsqu'ils parcourent ces rues familières et familiales. La rue des Batteries et la rue de la Défense, par exemple, sont des impasses signalées par deux panneaux dès l'entrée. Mais les conducteurs ne les voient pas ! ","la rue des Ruffins , la rue de la Paix et les impasses
de la rue de la Défense et de la rue des Batteries
+
la place au centre de ces rues.","Créer une zone de rencontre dans le quartier. Réaménager la place au centre de ces rues afin de favoriser le vivre ensemble et le partage de la rue, et lui donner un nom sur base d'un vote participatif.","• créer une zone de rencontre dans le quartier constitué par la rue des Ruffins , la rue de la Paix et les impasses de la rue de la Défense et de la rue des Batteries • réaménager la place au centre de ces rues afin de favoriser le vivre ensemble et le partage de la rue, et lui donner un nom sur base d'un vote participatif  "
"Projet d'enfants du centre de loisirs Paul
Lafargue et romain Rolland",Marianne Manquat,"Ruffins-Théophile Sueur
Montreau-Le Morillon",,Nouvelle proposition,,Aménagement et Mobilier Urbain,,"Pour l'espace Paul Lafargue :- jeux pour les 4-6 ans, aire de handball vers le bas du terrain",Espace Paul Lafargue et place des Morillons,"Projet d'aménagement en aire de jeux de l'espace
(terrain en face du centre de loisirs Paul Lafargue
et de la place des Morillons)
:

Pour l'espace Paul Lafargue :

- jeux pour les 4-6 ans, aire de handball
- air de jeux 6-10 ans, un jardin pour le centre",Projet d'aménagement en aire de jeux de l'espace (terrain en face du centre de loisirs Paul Lafargue et de la place des Morillons)
L'Aventure Signac,Marie Mortier ,"Bel air-Grands pêchers /
Mur à pêches-Paul Signac",,Nouvelle proposition,9000,Culture et loisirs,,L'Aventure Signac,Paul Signac,"1/ Faire connaître le tableau « Au temps d'Harmonie » de Paul Signac et son contexte aux habitants de l'Avenue Signac et du quartier Signac / murs à pêche
2/ Créer une communauté de réflexion et d'action à l'échelle du quartier Signac Murs à Pëches autour",
Retrouver sa place,Marie-Catherine Lemercier,Solidarité-Carnot / Centre Ville / Jean Moulin – Beaumonts,,Nouvelle proposition,,Aménagement et Mobilier Urbain,,"Réaménagement de la place type Place Carnot-- étude du stationnement en épis (zone de rencontre limité à 20 kmh vers rue des batterie, plateau de ralentissement comme devant l'hôtel de ville)",Place de la Paix,"Réaménagement de la place type Place Carnot avec :
- signalétique
- borne ferraire, pour ambiancer le quartier : concert,
exposition
- étude du stationnement en épis (zone de rencontre
limité à 20 kmh vers rue des batterie, plateau de
Ralentissement comme","Redonner de la vie au quartier place de la Paix parking, commerces signalétique"
Stationnement Grands Pêchers,Marie-Christine PERNIOLA,"Bel air-Grands pêchers /
Mur à pêches-Paul Signac",,Nouvelle proposition,,"Mobilité, circulation",,"Aménager des places de stationnement des deux côtés de la rue des Grands Pêchers à la place des plantations le long d'un des trottoirs. Car en dehors des heures d'ouverture de Super U personne ne peut se garer, nous n'avons plus de visiteurs. En dehors des visiteurs, n'ayant pas d'autre choix les voitures sont garées en double file rendant la circulation extrêmement difficile voire impossible les dimanches et jours fériés ainsi que les soirs de semaine.",Rue des Grands Pêchers,"Remplacement des noues par des
Places de stationnement", Manque de stationnement rue des Grands Pêchers
Rencontres conviviales au cœur de la cité de La Noue ou du Clos Français,Marie-France VERHILLE,La Noue-Clos Français / Villiers-Barbuse,,Nouvelle proposition,,Culture et loisirs,,"Un local qui peut être aussi une « camionnette » avec tables, chaises machine à café, frigo ou l'on puisse stocker boissons café gobelets sucre thé. En toute saison 1 local en dur ,,,, 1 lourd mobile ne serait utilisable pour la belle saison. Prise en charge par quelques associations qui en assurent l'ouverture ",,"Un local qui peut être aussi une « camionette » avec tables, chaises machine à café, frigo ou l'on puisse stocker boissons café gobelets sucre thé. En toute saison 1 local en dur , 1 lourd mobile ne serait utilisable pour la belle saison. Prise en charge ",Rencontres conviviales avec Adultes familles jeunes
"Installer des ralentisseurs dans les rues Buffon,
Victor-Hugo et Rabelais",Marion Bart,Solidarité-Carnot / Centre Ville / Jean Moulin – Beaumonts,,Nouvelle proposition,1000,"Mobilité, circulation",,"Actuellement, les excès de vitesse à proximité du square patriarche, de l'école des Zéphirotes et de la crèche Terechkova sont nombreux, alors qu'il s'agit d'une zone 30. Cette zone est très fréquentée par les enfants accompagnés de leurs parents ou de leurs assistants maternels","Les rues Buffon, Victor-Hugo et Rabelais","Un ralentisseur (de type coussin berlinois) ainsi
que les panneaux adéquats pour signaler aux
automobilistes que ces rues sont fréquemment
utilisées par des enfants",Plus de sécurité routière pour nos enfants
Rénovation du sol de l'aire de jeu du square patriarche,Marion Barthelemy ,Solidarité-Carnot / Centre Ville / Jean Moulin – Beaumonts,,Nouvelle proposition,,Espaces verts,,Le sol de l'aire de jeux du square patriarche qui est située côté parking est en très mauvais état et nécessite d'être refait en offrant une surface égalisée (au même niveau sur l'ensemble de l'aire) et dans un revêtement permettant le jeu sans danger,l'aire de jeux du square patriarche,"Le sol de l'aire de jeux du square patriarche qui est située côté parking est en très mauvais état et nécessite d'être refait.
",Le sol de l'aire de jeux du square patriarche qui est située côté parking est en très mauvais état et nécessite d'être refait
Modernisation de la Maison des Associations,Marion Frédéric,Solidarité-Carnot / Centre Ville / Jean Moulin – Beaumonts,,Nouvelle proposition,,Aménagement et Mobilier urbain,,"Projet élaboré et proposé par les associations, membres du Conseil de la Vie Associative dans le but de moderniser la Maison des Associations l'extérieur et l'intérieur ",Maison des associations – avenue de la Résistance,Modernisation de la Maison des Associations,Rendre la Maison des Associations plus visible et lisible pour une ville de 100.000 habitants
Pacifier la circulation sur Salvador Allende,Marion Frédéric,"Ramenas / Léo Lagrange /
Branly-Boissière",,Nouvelle proposition,,Urbanisme,," Mettre en place sur une zone 30 sur l'avenue du Président Salvador Allende, afin de limiter la vitesse de la circulation. Cela permettra que les habitants retrouvent un peu de quiétude sur cette avenue devenue une piste de circuit…",30 avenue du Président Allende,Pacifier la circulation sur Salvador Allende,Pacifier la circulation sur Salvador Allende
Fresque murale pour le mur du Jardin Django REINHARDT,Marissol Coral ,"Bas Montreuil-République /
Étienne Marcel-Chanzy / Bobillot",,Nouvelle proposition,,Aménagement et Mobilier Urbain,,"Enfin, le thème sera à définir en adéquation avec le projet de théâtre des marionnettes (Parc Alice Guy Blaché) et le corridor de biodiversité que nous souhaitons installer dans le site car en effet notre objectif est que la fresque murale soit harmonieusement intégré dans le parcours éducatif/découverte du site. Ainsi, son renouvellement une fois par un sera également en adéquation avec les thèmes et les événements à l'affiche dans la période.","terrain entre la rue du Progrès et Émile Zola qui
Donne sur le jardin Django Reinhardt","Il y a quelques années, le jardin Django Reinhardt a été aménagé. Il reste un mur, dont il a été question de réaliser une fresque murale en utilisant les enveloppes participatives. Ce projet est tombé à l'abandon car de difficultés techniques étaient appa","Le but de la fresque murale dans le jardin Django Reinhardt  est de compléter la réhabilitation du site,  sachant que la commune pourrait récupérer prochainement de terrains attenants. "
Rue Valette chaussée bibliothèque et parking,Martine Le Dily,"Bas Montreuil-République /
Étienne Marcel-Chanzy / Bobillot",,Nouvelle proposition,,Espaces verts,,Rue Valette chaussée bibliothèque et parking,Rue Valette,"Donner aux riverains et piétons une priorité dans cette rue. La transformer en passage piétons / vélos

voir document joint
","présence importante d'enfants en raison de crèche, écoles primaires, collège, maternelle dans ce secteur "
"
La régie des associations
",MEHL Bérengere,"Bel air-Grands pêchers /
Mur à pêches-Paul Signac",,Nouvelle proposition,14500,Culture et loisirs,,"
La régie des associations
",,"Nous souhaiterions nous munir d'une unité d'animation et de spectacle partagé. Elle pourrait servir aux collectifs ou associations désirant organiser une manifestation.

Cette unité mobile d'animation et de spectacle est dédiée à des évenements extérieurs",
Rue de Romainville,METAYER Annie,"Bel air-Grands pêchers /
Mur à pêches-Paul Signac",,Nouvelle proposition,,Aménagement et Mobilier Urbain,,"Pourquoi ne pas installer devant chaque passage piéton, sans feux, des ralentisseurs pour obliger les automobilistes à ralentir et permettre à chacun de traverser avec un peu plus de tranquillité. Peut-être démarrer par les grands axes la première année puis progressivement sécuriser tous les passages piétons.",Rue de Romainville,"Les trottoirs dans cette rue sont étroit,
voir inexistant à certains endroits.
Réaménagement de la rue pour pouvoir
Circuler en sécurité",Sécurité des piétons
"
Aménagement paysagé autour de bacs à ordure
",Michel Escoute ,Solidarité-Carnot / Centre Ville / Jean Moulin – Beaumonts,,Nouvelle proposition,,Espaces verts,,Remplacement d'un terre-plein par un espace vert et un banc et aménagement de la zone de dépôts des bacs à ordures ménagères,,Remplacement d'un terre-plein par un espace vert et un banc et aménagement de la zone de dépôts des bacs à ordures ménagères,objectifs de sécurité et santé publique
Réaménagement d'un terrain de basket déjà existant et fréquenté,Michel Escoute ,Solidarité-Carnot / Centre Ville / Jean Moulin – Beaumonts,,Nouvelle proposition,,Aménagement et Mobilier Urbain,, Couverture d'un terrain de basket. Mise à hauteur réglementaire des paniers basket existants,,"Couverture d'un terrain de basket. Mise à hauteur réglementaire des paniers basket existants
",Permettre à des jeunes adolescents du quartier de pratiquer le basket par tous les temps. Mettre l'équipement aux normes sportives (hauteur des paniers)
Pêche-Mêle aménagement du terrain lieu de vie de convivialité intergénérationnel,MICHEL Hamelin,"Bel air-Grands pêchers /
Mur à pêches-Paul Signac",,Nouvelle proposition,,Aménagement et Mobilier Urbain,,Pêche-Mêle aménagement du terrain lieu de vie de convivialité intergénérationnel,,"Enfants ados (8-14 ans) et adultes sport jeux détente « vivre ensemble »

- piste de skate - mur d'escalade - toile d'araignée - mini terrain de foot - espace barbecue + accessoires - balançoires
",
Aménagement en zone 30,Mimoun Baghadi,"Ruffins-Théophile Sueur
Montreau-Le Morillon",,Nouvelle proposition,,Aménagement et Mobilier Urbain,,Aménagement de la rue des Ruffins en zone 30 avec la mise en place de ralantisseurs et de signalisations compris la protection et libération des trottoirs.,la rue des Ruffins,"Aménagement de la rue des Ruffins en zone 30
avec la mise en place de ralentisseurs et de
signalisations + protection et libération
des trottoirs.",Sécurité des riverains (et surtout de nos enfants)
Objectif zéro gâchis,Nathalie Roualt,"Bas Montreuil-République /
Étienne Marcel-Chanzy / Bobillot",,Nouvelle proposition,200000,Gestion des Déchets,,"Ce projet n'est pas ciblé sur 1 quartier, mais pour toute la ville, Un projet qui implique une bonne gestion des déchets et une politique éclairée pour réussir le challenge. Mise en place d'une information auprès des habitants par le biais des conseils et antennes de quartier. Large sensibilisation auprès des entreprises, travailleurs, visiteurs. ",TOUTE LA VILLE,Installation d'une bonne gestion des déchets," Objectif : arriver à zéro déchet, non composté ou recyclé d'ici à 2030, tout comme San Francisco !"
Aménagement des trottoirs et des bancs,Nelly Achin ,"Ramenas / Léo Lagrange /
Branly-Boissière",,Nouvelle proposition,,Aménagement et Mobilier Urbain,,Aménagement des trottoirs et des bancs,NON RENSEIGNE,,
"Trottoir et parking 2 roues
Boulevard Chanzy",Nicolas BARD,"Bas Montreuil-République /
Étienne Marcel-Chanzy / Bobillot",,Nouvelle proposition,130000,Aménagement et Mobilier Urbain,,"Ce trottoir est dans un état de délabrement avancé… De nombreuses portions sont défoncées… La partie réservée aux piétons est très étroite, 2 personnes ayant du mal à se croiser. Ce trottoir est de plus en plus dangereux.  ",135 Boulevard Chanzy,"Le trottoir est étroit et dans un mauvais
état. Requalification du trottoir et
création d'un parking 2 roues","Accessibilité des personnes à mobilité réduite, aux personnes amenant des enfants en poussette et à des travailleurs indépendants"
Cabane à oiseaux,Nicolas Sanvert,"Ramenas / Léo Lagrange /
Branly-Boissière",,Nouvelle proposition,,Espaces verts,,nstaller deux petites cabanes à oiseaux dans le champ de poires au 1 avenue Salvador Allende pour sensibiliser les enfants et les jeunes au respect de l'environnement et de la faune.,1 avenue Salvador Allende,Sensibilisation la population à l'environnement,Sensibiliser la population à l'environnement
Clara se refait une beauté!,Nordin Diab,"Ramenas / Léo Lagrange /
Branly-Boissière",,Nouvelle proposition,,Education et Jeunesse,,"Le square Clara Zetkin, au carrefour du Bd A.Briand et de la rue St Denis, a besoin d'un réaménagement total.","Le square Clara Zetkin, au carrefour du Bd A.Briand
et de la rue St Denis","Réaménagement total

- des barrières qui se ferment pour assurer la sécurité.

- au niveau du parc de jeux, de nouvelles infrastructures
plus modernes: des jeux en bois (pont suspendu, tipi
d'indien, bascule, tourniquet...), un revêtement de sol
sécurisé ",Favoriser le vivre ensemble
"
Les piétons vous diront : Merci
",Odile Peleket,"Ramenas / Léo Lagrange /
Branly-Boissière",,Nouvelle proposition,,Aménagement et Mobilier Urbain,,"Réfection des trottoirs : boulevard de la Boissière côté pair et Salvador Allende côté impair, de la rue de Normandie au boulevard de la Boissière",,"Réfection des trottoirs : boulevard de la Boissière côté pair et Salvador Allende côté impair, de la rue de Normandie au boulevard de la Boissière",Améliorer la pratique de la marche. Faciliter les déplacements pour les personnes âgées et les enfants
Un arbre de plus,Odile Peleket,"Ramenas / Léo Lagrange /
Branly-Boissière",,Nouvelle proposition,,Espaces verts,,"Je souhaiterais planter un arbre qui symboliserait le départ du budget participatif dans le quartier au pied de l'arbre 4 rosiers : 4 saisons (angle Didier Daurat, avenue Salvador Allende)",Angle Didier Daurat et avenue Salvador Allende,"Je souhaiterai planter un arbre qui symboliserait le départ du budget participatif dans le quartier au pied de l'arbre 4 rosiers : 4 saisons (angle Didier Daurat, avenue Salvador Allende)","Réduire en partie la pollution - La nature verte est nécessaire à l'équilibre des humains, c'est aussi une couleur apaisante"
"
abri dans le square
",Olivier Caillon,La Noue-Clos Français / Villiers-Barbuse,,Nouvelle proposition,,Aménagement et Mobilier Urbain,,"Le conseil de quartier ne souhaite pas une structure arrivant toute faite, mais construire cet abri avec les jeunes. Cela permettra aux jeunes, de travailler avec des adultes et de comprendre que rien n'est facile dans la vie.",Le square Barbara,"Depuis de nombreuses années, les jeunes qui utilisent le square Barbara souhaitent un abri.

Le conseil de quartier ne souhaite pas une structure arrivant toute faite, mais construire cet abri avec les jeunes.

",Construire un projet avec les jeunes Prendre en compte leur besoin
"
Des bancs pour le quartier
",Olivier Caillon,La Noue-Clos Français / Villiers-Barbuse,,Nouvelle proposition,,Aménagement et Mobilier Urbain,,Le quartier est très mal desservi par les transports en commun. Le peu d'arrêt existant n'est pas doté de bancs.,Ensemble du quartier + square Barbara,"Le quartier est très mal desservi par les transports en commun. Le peu d'arrêt existant n'est pas doté de bancs.

Dans un premier temps, placer des bancs au niveau des arrêts des bus du 322 / 115 et 545

Profitez de la commande pour rajouter des bancs dan",organiser des points de rencontre
"
Moulin à vent
",Olivier Caillon,La Noue-Clos Français / Villiers-Barbuse,,Nouvelle proposition,,Aménagement et Mobilier Urbain,,"Cependant, l'enveloppe de 270 000 € ne permettra pas de faire tous les aménagements pour cette rue. Le montant demandé sera déterminé par les services, dans un cadre d'embellissement de la rue.",La rue du Moulin à vent,"finaliser un aménagement effectuer par la ville
Description :

La rue du Moulin à vent va rentrer en phase de travaux fin 2015.

Cependant, l'enveloppe de 270 000 € ne permettra pas de faire tous les aménagements pour cette rue.

Le montant demandé sera d",Finaliser un aménagement effectuer par la ville
"
Points d'eau
",Olivier Caillon,La Noue-Clos Français / Villiers-Barbuse,,Nouvelle proposition,,Espaces verts,,Le square Barbara est occupée par de nombreuses familles.Les utilisateurs souhaiteraient un point d'eau afin de pouvoir se rafraîchir,Le square Barbara,"Le square Barbara est occupée par de nombreuses familles.

Les utilisateurs souhaiteraient un point d'eau afin de pouvoir se rafraîchir

",Demander à des utilisateurs du square
"
Table de ping pong
",Olivier Caillon,La Noue-Clos Français / Villiers-Barbuse,,Nouvelle proposition,,Aménagement et Mobilier Urbain,,L'idée est de réaménager l'espace situé sur le côté de la plaque commémorative du Gral de Gaulle,"l'espace situé sur le côté de la plaque
Commémorative du Gral de Gaulle","L'idée est de réaménager l'espace situé sur le côté de la plaque commémorative du Gral de Gaulle

Cet espace est un terre plein à l'abandon.

L'idée est de le réaménager l'espace en verdure et en y installant une table de ping pong.",Point de divertissement
Théâtre de marionnettes,Olivier Cohen ,"Bas Montreuil-République /
Étienne Marcel-Chanzy / Bobillot",,Nouvelle proposition,50000,Culture et loisirs,,"Projet: Dans le parc, pour l'instant non exploité, Alice Guy Blaché, installer un théâtre de marionnettes de plein air, permettant en dehors de sa programmation régulière d'accueillir des petites formes artistiques en direction de l'enfance (contes, concerts, théâtre d'images, théâtre de rue). Environnement: Ce petit théâtre 6 m de large sur 3 de profondeur, s'intégrera idéalement dans un petit parc incluant flore, et petite faune (ferme à insectes, bassin de poissons...). Parc inclus dans les corridors de bio diversité. Des espaces pédagogiques seront créés en rapport avec la ville et d'autres associations (rencontres prévus)",dans le parc Alice Guy Blaché,"Installation dans le parc Alice Guy Blaché d'un petit théâtre de marionnettes de plein air (6m de large sur 3m de profondeur), permettant en dehors de sa programmation régulière, d'accueillir des petites formes artistiques.", Proposer à la petite enfance un espace dédié incluant un mini parc et un théâtre de marionnettes
«Pocket Café » et la « Grosse Patate »  : un nouvel espace socioculturel pour les habitants du quartier Villiers Barbusse,Ouided Schaal,La Noue-Clos Français / Villiers-Barbuse,,Nouvelle proposition,248568,Culture et loisirs,,"L'association la Grosse Patate gestionnaire du jardin Partagé «  La grosse
patate » rue Léon Loiseau et l'association « Pocket» souhaitent s'associer pour déposer un projet de construction d'un établissement socioculturel au titre du budget
Participatif.",au 12 Bis Rue Léon Loiseau à Montreuil,,Un lieu qui répond à ce besoin grandissant de créer une vie de quartier énergique et épanouissante pour toute sa population. Un lieu qui favorise et fédère des projets citoyens.
Lire les arbres,Pablo Feix,"Bas Montreuil-République /
Étienne Marcel-Chanzy / Bobillot",,Nouvelle proposition,,Education et Jeunesse,,"Disposer auprès de chaque arbre ou à l'extrémité d'un alignement, une fiche indiquant son nom ses origines, son histoire et ses vertus -médicinales ou autres- ; un descriptif le plus complet possible, avec les fragilités (maladies, parasites etc.), les avantages (animaux fréquents, effets sur la pollution etc.).",,"Disposer auprès de chaque arbre ou à l'extrémité d'un alignement, une fiche indiquant son nom ses origines, son histoire et ses vertus -médicinales ou autres- ; un descriptif le plus complet possible, avec les fragilités (maladies, parasites etc.), les av","Culture, éducation et sensibilisation des citoyen(ne)s à leur environnement "
"1, 2, 3, 4. Enfin, un chantier-école de maintenance des murs à pêches et un espace publique patrimonial dans les murs à pêches !",Pascal Mage ,"Bel air-Grands pêchers /
Mur à pêches-Paul Signac",,Nouvelle proposition,,Culture et loisirs,,"Besoin d'activités culturelles dans l'espace public et d'accès libre : utiliser l'espace public pour accueillir des événement culturels comme des installations de Land'Art à rayonnement international. Enfin, un chantier-école de maintenance des murs à pêches et un espace publique patrimonial dans les murs à pêches !",,pascal Mage (pascal.mage@wanadoo.fr)," Besoin d'un point d'ancrage patrimonial pour les habitants dans notre ville en pleine mutation urbaine. . Il s'agit donner la possibilité aux montreuillois et aux habitants du quartier et aux scolaires, de découvrir le patrimoine des murs à pêches d'une façon récréative"
Emplacement parking pour motos et arceaux pour vélos en dehors des lieux commerciaux ou lieux municipaux.,Pascale Peuziat,"Bel air-Grands pêchers /
Mur à pêches-Paul Signac",,Nouvelle proposition,1000,Aménagement et Mobilier Urbain,,"Pour les motos : empiéter sur un espace de parking à voiture, pour faire 2 places de motos ou scooter dans une rue. Pour les vélos : prévoir au moins 2 arceaux pour garer des vélos dans une rue. Et l'envisager plus globalement dans chaque rue du quartier","au début de la rue rochebrune et dans d'autres rues
du quartier","Pour les motos :

empiéter sur un espace de parking à voiture, pour faire 2 places de motos ou scooter dans une rue.

dans ma rue, rue rochebrune, il y a 1 à 2 motos qui se garent sur le trottoir. Mais envisager ce projet dans les autres rues. ",Eviter que des motos se garent sur le trottoir. Idem pour les vélos. Donner la possibilité aux personnes qui n'ont pas de garage ou de local à vélo de garer leur vélo. Ainsi que des places pour les visiteurs. Encourager aussi les déplacements en vélo ou moto.
